,group,website,coder
541,Washington DC After Dark Wonder Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5769P5','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5769P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988120-Washington_DC_After_Dark_Wonder_Tour-Washington_DC_District_of_Columbia.html', 'title', '5769P5', '0');",d11988120
560,Gettysburg Day Trip from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2890O','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2890O','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11448013-Gettysburg_Day_Trip_from_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2890O', '1');",d11448013
579,Washington DC Capital Sites Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2384CST','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2384CST','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11447232-Washington_DC_Capital_Sites_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '2384CST', '2');",d11447232
598,Washington DC Day Trip from New York,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3857DC1','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3857DC1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g60763-d11450014-Washington_DC_Day_Trip_from_New_York-New_York_City_New_York.html', 'title', '3857DC1', '3');",d11450014
619,Admission to Washington DC Newseum,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5604NEWS','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5604NEWS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11452204-Admission_to_Washington_DC_Newseum-Washington_DC_District_of_Columbia.html', 'title', '5604NEWS', '4');",d11452204
638,2.5-Hour U.S. Capitol Building and Capitol Hill Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P15','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12647994-2_5_Hour_U_S_Capitol_Building_and_Capitol_Hill_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P15', '5');",d12647994
657,Washington DC Arrival Transfer: from Dulles Airport,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2928WASAPTHTL','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2928WASAPTHTL','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11987890-Washington_DC_Arrival_Transfer_from_Dulles_Airport-Washington_DC_District_of_Columbia.html', 'title', '2928WASAPTHTL', '6');",d11987890
676,Washington DC Comedy Magic Show,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('45667P3','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('45667P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11992361-Washington_DC_Comedy_Magic_Show-Washington_DC_District_of_Columbia.html', 'title', '45667P3', '7');",d11992361
694,Washington DC Segway Night Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707NIGHT','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707NIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11449735-Washington_DC_Segway_Night_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707NIGHT', '8');",d11449735
712,Monuments and Memorials Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P18','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P18','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13416038-Monuments_and_Memorials_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P18', '9');",d13416038
730,Washington DC Private City Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7953P1','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7953P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11477055-Washington_DC_Private_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '7953P1', '10');",d11477055
748,Washington DC Departure Transfer: to Dulles Airport,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2928WASHTLAPT','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2928WASHTLAPT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11987891-Washington_DC_Departure_Transfer_to_Dulles_Airport-Washington_DC_District_of_Columbia.html', 'title', '2928WASHTLAPT', '11');",d11987891
767,Private Night Tour of Washington DC with Dinner,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P4','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13871790-Private_Night_Tour_of_Washington_DC_with_Dinner-Washington_DC_District_of_Columbia.html', 'title', '67327P4', '12');",d13871790
785,Kayak Rentals in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('72501P1','true','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('72501P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14084150-Kayak_Rentals_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '72501P1', '13');",d14084150
804,Private Day Tour on the National Mall,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P7','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P7','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13969402-Private_Day_Tour_on_the_National_Mall-Washington_DC_District_of_Columbia.html', 'title', '67327P7', '14');",d13969402
822,Private Highlights National Mall Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P8','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P8','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13969401-Private_Highlights_National_Mall_Tour-Washington_DC_District_of_Columbia.html', 'title', '67327P8', '15');",d13969401
840,Private City Tour with Driver Guide,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('68633P1','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('68633P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13960783-Private_City_Tour_with_Driver_Guide-Washington_DC_District_of_Columbia.html', 'title', '68633P1', '16');",d13960783
858,Private City Tour with Driver Guide Up to 12 people,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('68633P4','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('68633P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13960784-Private_City_Tour_with_Driver_Guide_Up_to_12_people-Washington_DC_District_of_Columbia.html', 'title', '68633P4', '17');",d13960784
876,Eastern Market Pastries Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('41376P11','true','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('41376P11','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d14163478-Eastern_Market_Pastries_Tour-Washington_DC_District_of_Columbia.html', 'title', '41376P11', '18');",d14163478
