,group,website,coder
1881,Arlington Cemetery and National Mall Monuments Bus Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P8','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P8','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483278-Arlington_Cemetery_and_National_Mall_Monuments_Bus_Tour-Washington_DC_District_of_Columbia.html', 'title', '6766P8', '14');",d11483278
1898,Washington DC City Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988453-Washington_DC_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '26722P1', '15');",d11988453
1919,Small-Group Walking Tour of Arlington National Cemetery,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990466-Small_Group_Walking_Tour_of_Arlington_National_Cemetery-Washington_DC_District_of_Columbia.html', 'title', '40048P10', '16');",d11990466
1937,Madame Tussauds Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5007WASTUSSAUDS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5007WASTUSSAUDS','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11450374-Madame_Tussauds_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '5007WASTUSSAUDS', '17');",d11450374
1958,Independent Half-Day Trip to Mount Vernon from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2890D','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2890D','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11464792-Independent_Half_Day_Trip_to_Mount_Vernon_from_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2890D', '18');",d11464792
1976,Washington DC Food Tour: Italian Cuisine in Dupont Circle,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('13603DCFOOD','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('13603DCFOOD','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11462573-Washington_DC_Food_Tour_Italian_Cuisine_in_Dupont_Circle-Washington_DC_District_of_.html', 'title', '13603DCFOOD', '19');",d11462573
1994,Washington DC Highlights Tour from US Navy Memorial,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6349P27','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6349P27','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12824115-Washington_DC_Highlights_Tour_from_US_Navy_Memorial-Washington_DC_District_of_Columbia.html', 'title', '6349P27', '20');",d12824115
2012,Washington DC Photo Safari: Monuments and Memorials Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3652FULL','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3652FULL','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11449384-Washington_DC_Photo_Safari_Monuments_and_Memorials_Tour-Washington_DC_District_of_Columbia.html', 'title', '3652FULL', '21');",d11449384
2030,Politics and Pints: Small Group Capitol Hill Tour with Local Guide,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P55','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P55','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11803809-Politics_and_Pints_Small_Group_Capitol_Hill_Tour_with_Local_Guide-Washington_DC_District_of_Columbia.html', 'title', '5713P55', '22');",d11803809
2048,Taste of DC Segway Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('43913P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('43913P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12433314-Taste_of_DC_Segway_Tour-Washington_DC_District_of_Columbia.html', 'title', '43913P4', '23');",d12433314
2066,Musings with a White House Gardner Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('37017P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('37017P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12089484-Musings_with_a_White_House_Gardner_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '37017P3', '24');",d12089484
2084,Private Customized Washington DC City Tour by Van,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32041P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32041P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988733-Private_Customized_Washington_DC_City_Tour_by_Van-Washington_DC_District_of_Columbia.html', 'title', '32041P1', '25');",d11988733
2102,War Memorials and Arlington National Cemetery Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5769ARLINGTON','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5769ARLINGTON','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11987980-War_Memorials_and_Arlington_National_Cemetery_Tour-Washington_DC_District_of_Columbia.html', 'title', '5769ARLINGTON', '26');",d11987980
2120,Private Guided Tour of the National Museum of American History,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990564-Private_Guided_Tour_of_the_National_Museum_of_American_History-Washington_DC_District_of_Columbia.html', 'title', '40048P5', '27');",d11990564
2138,Multi-Lingual Washington DC City Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7283P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7283P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductReview-g28970-d11470774-Multi_Lingual_Washington_DC_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '7283P1', '28');",d11470774
2156,Three-Hour DC City Night Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988456-Three_Hour_DC_City_Night_Tour-Washington_DC_District_of_Columbia.html', 'title', '26722P4', '29');",d11988456
2177,Private After Hours DC City Tour by Van,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32041P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32041P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988736-Private_After_Hours_DC_City_Tour_by_Van-Washington_DC_District_of_Columbia.html', 'title', '32041P4', '0');",d11988736
2195,The White House as an Office Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('37017P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('37017P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12089482-The_White_House_as_an_Office_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '37017P1', '1');",d12089482
2213,Private Washington DC Day Trip from New York,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7908P4','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7908P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d11457778-Private_Washington_DC_Day_Trip_from_New_York-New_York_City_New_York.html', 'title', '7908P4', '2');",d11457778
2233,Haunted Evening DC Pub Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('43154P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('43154P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12518554-Haunted_Evening_DC_Pub_Tour-Washington_DC_District_of_Columbia.html', 'title', '43154P5', '3');",d12518554
2251,Sunset Segway Tour of Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('43913P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('43913P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12433312-Sunset_Segway_Tour_of_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '43913P3', '4');",d12433312
2269,Washington DC After Dark,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8839P2','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8839P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11456952-Washington_DC_After_Dark-Washington_DC_District_of_Columbia.html', 'title', '8839P2', '5');",d11456952
2287,Baltimore Departure Transfer: from Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('2928BWIHTLAPTWAS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('2928BWIHTLAPTWAS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11987850-Baltimore_Departure_Transfer_from_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '2928BWIHTLAPTWAS', '6');",d11987850
2305,National Gallery of Art Small-Group Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5411AC','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5411AC','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11451476-National_Gallery_of_Art_Small_Group_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '5411AC', '7');",d11451476
2323,Washington DC Express Sightseeing Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5769ANYTIME','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5769ANYTIME','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11987979-Washington_DC_Express_Sightseeing_Tour-Washington_DC_District_of_Columbia.html', 'title', '5769ANYTIME', '8');",d11987979
2341,DC Smartphone Photo Safari at Night,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3652P9','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3652P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13083976-DC_Smartphone_Photo_Safari_at_Night-Washington_DC_District_of_Columbia.html', 'title', '3652P9', '9');",d13083976
2359,Washington DC Explorer Pass,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3958DCEXPLORER','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3958DCEXPLORER','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12181695-Washington_DC_Explorer_Pass-Washington_DC_District_of_Columbia.html', 'title', '3958DCEXPLORER', '10');",d12181695
2376,Small-Group Sunset Electric Bike Tour in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P14','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P14','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12437376-Small_Group_Sunset_Electric_Bike_Tour_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '3707P14', '11');",d12437376
2394,Total DC Evening Tour: Art & Cocktails,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P78','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P78','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107686-Total_DC_Evening_Tour_Art_Cocktails-Washington_DC_District_of_Columbia.html', 'title', '5713P78', '12');",d13107686
2412,DC Monuments and Memorials Pedicab Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('42239P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('42239P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990215-DC_Monuments_and_Memorials_Pedicab_Tour-Washington_DC_District_of_Columbia.html', 'title', '42239P1', '13');",d11990215
2430,DC Tour with Wine on a Rickshaw,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6152P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6152P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11992440-DC_Tour_with_Wine_on_a_Rickshaw-Washington_DC_District_of_Columbia.html', 'title', '6152P5', '14');",d11992440
2448,Small-Group Capitol Hill Walking Food Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('39348P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('39348P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12578297-Small_Group_Capitol_Hill_Walking_Food_Tour-Washington_DC_District_of_Columbia.html', 'title', '39348P5', '15');",d12578297
2466,Walking Tour On Embassy Row in Washington DC,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('8918P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('8918P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11459454-Walking_Tour_On_Embassy_Row_in_Washington_DC-Washington_DC_District_of_Columbia.html', 'title', '8918P1', '16');",d11459454
2484,Washington DC to New York Day Trip by Rail,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('15081P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('15081P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12464643-Washington_DC_to_New_York_Day_Trip_by_Rail-Washington_DC_District_of_Columbia.html', 'title', '15081P9', '17');",d12464643
2501,Perfect Private Day Tour with Breakfast and Lunch,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('67327P3','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('67327P3','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13807476-Perfect_Private_Day_Tour_with_Breakfast_and_Lunch-Washington_DC_District_of_Columbia.html', 'title', '67327P3', '18');",d13807476
2519,Private Washington DC Deluxe City Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('26722P5','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('26722P5','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11989537-Private_Washington_DC_Deluxe_City_Tour-Washington_DC_District_of_Columbia.html', 'title', '26722P5', '19');",d11989537
2537,New York to Washington DC Day Trip by Rail,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('15081P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('15081P10','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d12464702-New_York_to_Washington_DC_Day_Trip_by_Rail-New_York_City_New_York.html', 'title', '15081P10', '20');",d12464702
2554,Washington DC Double Decker Bus Guided Night Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6487NIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6487NIGHT','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11867477-Washington_DC_Double_Decker_Bus_Guided_Night_Tour-Washington_DC_District_of_Columbia.html', 'title', '6487NIGHT', '21');",d11867477
2572,"Small Group Museum of American History, Air and Space Museum","ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P23','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P23','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12053485-Small_Group_Museum_of_American_History_Air_and_Space_Museum-Washington_DC_District_of_Columbia.html', 'title', '40048P23', '22');",d12053485
2590,Private DC Tour with Customized Itinerary,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('32453P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('32453P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11483001-Private_DC_Tour_with_Customized_Itinerary-Washington_DC_District_of_Columbia.html', 'title', '32453P1', '23');",d11483001
2608,Washington DC Day Trip from New York City by Train,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('7167P17','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('7167P17','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g60763-d13433505-Washington_DC_Day_Trip_from_New_York_City_by_Train-New_York_City_New_York.html', 'title', '7167P17', '24');",d13433505
2626,The National Archives Building DC Small Group Guided Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P29','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P29','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13003956-The_National_Archives_Building_DC_Small_Group_Guided_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P29', '25');",d13003956
2644,Hop-On Hop-Off Washington DC Bus Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6487MONUMENTS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6487MONUMENTS','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11458049-Hop_On_Hop_Off_Washington_DC_Bus_Tour-Washington_DC_District_of_Columbia.html', 'title', '6487MONUMENTS', '26');",d11458049
2662,Washington DC National Mall and Capitol Hill Small-Group Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P20','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P20','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991584-Washington_DC_National_Mall_and_Capitol_Hill_Small_Group_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P20', '27');",d11991584
2680,Private Arlington National Cemetery Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P2','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990517-Private_Arlington_National_Cemetery_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P2', '28');",d11990517
2698,Private DC Sightseeing Tour for 6-14 Travelers,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('22615P1','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('22615P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12314203-Private_DC_Sightseeing_Tour_for_6_14_Travelers-Washington_DC_District_of_Columbia.html', 'title', '22615P1', '29');",d12314203
2716,Arlington Cemetery Private Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P12','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13391345-Arlington_Cemetery_Private_Tour-Washington_DC_District_of_Columbia.html', 'title', '25828P12', '0');",d13391345
2734,Washington DC National Mall and Museums Pedicab Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6152MUSMALL','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6152MUSMALL','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11988012-Washington_DC_National_Mall_and_Museums_Pedicab_Tour-Washington_DC_District_of_Columbia.html', 'title', '6152MUSMALL', '1');",d11988012
2752,Luxury Day Tour With Hotel Pickup Plus Potomac River Cruise,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('6766P13','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('6766P13','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13136043-Luxury_Day_Tour_With_Hotel_Pickup_Plus_Potomac_River_Cruise-Washington_DC_District_of_Columbia.html', 'title', '6766P13', '2');",d13136043
2769,National Mall and National Gallery of Art Small-Group Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P15','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11990578-National_Mall_and_National_Gallery_of_Art_Small_Group_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P15', '3');",d11990578
2787,Private DC Historical Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P1','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991624-Private_DC_Historical_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P1', '4');",d11991624
2805,Best of Washington DC E-Bike Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('3707P12','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('3707P12','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11764597-Best_of_Washington_DC_E_Bike_Tour-Washington_DC_District_of_Columbia.html', 'title', '3707P12', '5');",d11764597
2823,Old Town Alexandria Historical Walking and Food Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('39348P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('39348P4','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d12578295-Old_Town_Alexandria_Historical_Walking_and_Food_Tour-Washington_DC_District_of_Columbia.html', 'title', '39348P4', '6');",d12578295
2841,Total DC Evening Tour: American Art & Monuments by Night,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('5713P77','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('5713P77','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13107687-Total_DC_Evening_Tour_American_Art_Monuments_by_Night-Washington_DC_District_of_Columbia.html', 'title', '5713P77', '7');",d13107687
2859,Capitol Hill Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('25828P13','','');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('25828P13','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d13571436-Capitol_Hill_Tour-Washington_DC_District_of_Columbia.html', 'title', '25828P13', '8');",d13571436
2877,Small-Group DC Evening Historical Walking Tour,"ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackKidPricing('40048P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackLangSupport('40048P9','','true');ta.plc_attraction_products_list_clarity_product_list_0_handlers.trackAndOpenUrl(event, 'attraction_product_card_click', '/AttractionProductDetail-g28970-d11991557-Small_Group_DC_Evening_Historical_Walking_Tour-Washington_DC_District_of_Columbia.html', 'title', '40048P9', '9');",d11991557
